hour;day;month;year;Hs;T;wind direction
0;1;7;2003;0,6;3,7;62
3;1;7;2003;0,9;4;34
6;1;7;2003;0,9;4;22
9;1;7;2003;0,9;4;14
12;1;7;2003;0,9;4;12
15;1;7;2003;0,7;3,9;4
18;1;7;2003;0,6;3,8;350
21;1;7;2003;0,5;4,2;342
0;2;7;2003;0,5;4,5;303
3;2;7;2003;0,4;4,6;305
6;2;7;2003;0,5;4,1;329
9;2;7;2003;0,6;3,8;321
12;2;7;2003;0,8;3,9;328
15;2;7;2003;0,8;3,8;321
18;2;7;2003;1;4;323
21;2;7;2003;0,8;3,9;320
0;3;7;2003;0,8;3,8;313
3;3;7;2003;0,8;3,8;317
6;3;7;2003;0,9;3,9;321
9;3;7;2003;1;4,1;321
12;3;7;2003;1;4;318
15;3;7;2003;0,9;3,9;307
18;3;7;2003;0,9;3,9;311
21;3;7;2003;1,1;4,2;315
0;4;7;2003;1,1;4,3;317
3;4;7;2003;1,2;4,4;317
6;4;7;2003;1;4,2;320
9;4;7;2003;1,1;4,2;318
12;4;7;2003;0,9;4;319
15;4;7;2003;0,9;3,9;316
18;4;7;2003;0,8;3,9;320
21;4;7;2003;0,8;3,8;318
0;5;7;2003;0,6;3,8;320
3;5;7;2003;0,6;3,6;318
6;5;7;2003;0,5;3,5;322
9;5;7;2003;0,6;3,6;330
12;5;7;2003;0,5;3,6;323
15;5;7;2003;0,6;3,6;337
18;5;7;2003;0,4;3,6;333
21;5;7;2003;0,4;3,6;331
0;6;7;2003;0,3;3,9;153
3;6;7;2003;0,3;3,7;161
6;6;7;2003;0,3;3,7;180
9;6;7;2003;0,3;3,5;198
12;6;7;2003;0,4;3,5;182
15;6;7;2003;0,6;3,7;203
18;6;7;2003;0,7;4;209
21;6;7;2003;0,6;3,9;200
0;7;7;2003;0,5;4,2;43
3;7;7;2003;0,6;4,4;180
6;7;7;2003;0,6;4,1;167
9;7;7;2003;0,7;4;207
12;7;7;2003;0,6;3,8;207
15;7;7;2003;0,5;4,6;255
18;7;7;2003;0,6;5;202
21;7;7;2003;0,6;4,8;344
0;8;7;2003;0,7;4,7;354
3;8;7;2003;0,8;5,1;40
6;8;7;2003;0,7;4,9;188
9;8;7;2003;0,5;4,8;197
12;8;7;2003;0,4;4,2;81
15;8;7;2003;0,4;4,1;22
18;8;7;2003;0,4;3,9;26
21;8;7;2003;0,3;3,9;299
0;9;7;2003;0,3;3,9;204
3;9;7;2003;0,3;3,9;155
6;9;7;2003;0,4;3,6;177
9;9;7;2003;0,4;3,7;156
12;9;7;2003;0,7;3,9;155
15;9;7;2003;0,9;4,3;152
18;9;7;2003;1;4,4;152
21;9;7;2003;0,9;4,1;171
0;10;7;2003;0,8;4,2;172
3;10;7;2003;0,9;4,3;177
6;10;7;2003;0,9;4,3;181
9;10;7;2003;0,9;4,4;214
12;10;7;2003;0,7;4,5;228
15;10;7;2003;0,7;4,6;272
18;10;7;2003;0,7;4,9;250
21;10;7;2003;0,7;4,1;237
0;11;7;2003;0,6;4;234
3;11;7;2003;0,7;3,9;232
6;11;7;2003;0,7;3,9;227
9;11;7;2003;0,7;3,9;243
12;11;7;2003;0,9;4,7;258
15;11;7;2003;1,2;5,5;278
18;11;7;2003;1;5,4;263
21;11;7;2003;0,9;5,9;263
0;12;7;2003;0,8;5,6;228
3;12;7;2003;0,8;5,9;219
6;12;7;2003;0,6;5,7;216
9;12;7;2003;0,6;5,7;212
12;12;7;2003;0,6;4,4;204
15;12;7;2003;0,6;4,6;195
18;12;7;2003;0,7;4,2;160
21;12;7;2003;0,8;4,2;157
0;13;7;2003;0,7;4,1;153
3;13;7;2003;0,9;4,3;146
6;13;7;2003;0,9;4,4;164
9;13;7;2003;1;4,5;155
12;13;7;2003;0,9;4,4;138
15;13;7;2003;0,8;4,4;142
18;13;7;2003;0,5;3,9;140
21;13;7;2003;0,4;4,1;127
0;14;7;2003;0,4;3,7;54
3;14;7;2003;0,3;3,9;90
6;14;7;2003;0,4;3,5;111
9;14;7;2003;0,6;4,1;127
12;14;7;2003;0,8;4,1;131
15;14;7;2003;0,8;4,7;144
18;14;7;2003;0,7;4,3;123
21;14;7;2003;0,7;4,8;36
0;15;7;2003;0,6;3,9;108
3;15;7;2003;0,9;4,6;161
6;15;7;2003;0,9;4,2;112
9;15;7;2003;1;4,6;104
12;15;7;2003;0,9;4,3;33
15;15;7;2003;0,7;4,4;309
18;15;7;2003;0,6;4,6;355
21;15;7;2003;0,5;4,3;10
0;16;7;2003;0,6;3,8;44
3;16;7;2003;0,7;3,9;22
6;16;7;2003;0,8;3,9;62
9;16;7;2003;0,9;4;48
12;16;7;2003;0,8;4,1;23
15;16;7;2003;0,6;4,3;333
18;16;7;2003;0,6;4,2;347
21;16;7;2003;0,9;4,3;86
0;17;7;2003;1,1;4,1;71
3;17;7;2003;1,2;4,3;42
6;17;7;2003;1,2;4,4;42
9;17;7;2003;0,9;4,1;37
12;17;7;2003;0,8;4,1;10
15;17;7;2003;0,8;3,9;13
18;17;7;2003;0,6;3,9;336
21;17;7;2003;0,6;3,6;11
0;18;7;2003;0,7;3,9;20
3;18;7;2003;0,5;4;275
6;18;7;2003;0,5;4,1;266
9;18;7;2003;0,5;3,5;240
12;18;7;2003;0,5;3,9;227
15;18;7;2003;0,6;4,9;180
18;18;7;2003;0,6;4,3;149
21;18;7;2003;0,7;3,8;164
0;19;7;2003;0,8;4,2;151
3;19;7;2003;0,9;4;154
6;19;7;2003;1;4,7;158
9;19;7;2003;1,3;4,6;146
12;19;7;2003;1,4;5,1;150
15;19;7;2003;1,5;4,9;156
18;19;7;2003;1,4;5,1;156
21;19;7;2003;1,3;4,7;154
0;20;7;2003;1,1;4,7;156
3;20;7;2003;1,2;4,6;153
6;20;7;2003;1,1;4,9;163
9;20;7;2003;1,1;4,7;155
12;20;7;2003;1,3;4,9;152
15;20;7;2003;1,4;5;154
18;20;7;2003;1,3;4,9;154
21;20;7;2003;1,2;4,8;162
0;21;7;2003;1,1;5,1;156
3;21;7;2003;1,1;5,1;175
6;21;7;2003;0,9;4,9;177
9;21;7;2003;0,8;4,8;160
12;21;7;2003;0,8;4,7;178
15;21;7;2003;0,7;4,7;316
18;21;7;2003;0,6;4,7;219
21;21;7;2003;0,4;4,7;184
0;22;7;2003;0,4;4,2;202
3;22;7;2003;0,7;3,9;220
6;22;7;2003;0,6;3,7;236
9;22;7;2003;0,4;3,5;254
12;22;7;2003;0,4;4;232
15;22;7;2003;0,5;3,8;211
18;22;7;2003;0,4;3,6;218
21;22;7;2003;0,4;3,7;190
0;23;7;2003;0,4;3,6;162
3;23;7;2003;0,6;3,7;163
6;23;7;2003;0,8;3,8;158
9;23;7;2003;1,2;4,5;160
12;23;7;2003;1,6;5,2;167
15;23;7;2003;1,6;5,2;210
18;23;7;2003;1,3;5,3;224
21;23;7;2003;1;5;234
0;24;7;2003;0,9;4,7;242
3;24;7;2003;0,9;4,7;238
6;24;7;2003;0,8;5,1;227
9;24;7;2003;0,7;4,8;213
12;24;7;2003;0,7;5;180
15;24;7;2003;0,9;4,3;166
18;24;7;2003;1,1;4,6;162
21;24;7;2003;0,9;4,3;178
0;25;7;2003;1;4,6;181
3;25;7;2003;1,2;5,4;203
6;25;7;2003;1;5,8;224
9;25;7;2003;0,8;5,3;244
12;25;7;2003;0,6;5,6;319
15;25;7;2003;0,6;4,1;347
18;25;7;2003;0,6;4,2;338
21;25;7;2003;0,5;4,4;219
0;26;7;2003;0,4;4,5;168
3;26;7;2003;0,4;4,7;175
6;26;7;2003;0,4;4,8;248
9;26;7;2003;0,3;4,9;210
12;26;7;2003;0,3;4,2;154
15;26;7;2003;0,4;3,7;120
18;26;7;2003;0,4;4,2;255
21;26;7;2003;0,4;4,3;291
0;27;7;2003;0,4;4,4;248
3;27;7;2003;0,3;4,5;236
6;27;7;2003;0,3;3,9;218
9;27;7;2003;0,3;3,6;235
12;27;7;2003;0,4;3,4;221
15;27;7;2003;0,4;3,4;234
18;27;7;2003;0,5;3,9;218
21;27;7;2003;0,6;4,6;230
0;28;7;2003;0,6;5;221
3;28;7;2003;0,6;4,7;204
6;28;7;2003;0,5;4,5;184
9;28;7;2003;0,6;4,3;177
12;28;7;2003;0,8;4,1;145
15;28;7;2003;1,2;4,9;159
18;28;7;2003;1,2;5,3;156
21;28;7;2003;1,4;5,5;187
0;29;7;2003;1,1;5,6;200
3;29;7;2003;0,9;5,6;220
6;29;7;2003;0,7;5,2;221
9;29;7;2003;0,7;5;193
12;29;7;2003;0,8;4,3;139
15;29;7;2003;0,9;4,6;164
18;29;7;2003;0,9;4,2;169
21;29;7;2003;1;5,1;121
0;30;7;2003;1;4,3;296
3;30;7;2003;0,7;4,6;330
6;30;7;2003;0,9;3,8;329
9;30;7;2003;0,9;4;322
12;30;7;2003;0,9;4;323
15;30;7;2003;0,7;3,8;324
18;30;7;2003;0,5;3,8;334
21;30;7;2003;0,3;3,9;50
0;31;7;2003;0,3;4;151
3;31;7;2003;0,5;3,9;194
6;31;7;2003;0,7;3,6;165
9;31;7;2003;0,8;4,1;179
12;31;7;2003;0,9;4,1;173
15;31;7;2003;0,9;4,8;180
18;31;7;2003;1;4,6;182
21;31;7;2003;1;5,8;240
0;1;8;2003;1,3;6;216
3;1;8;2003;0,9;5,6;220
6;1;8;2003;0,8;5,4;221
9;1;8;2003;0,6;4,7;239
12;1;8;2003;0,7;4,3;225
15;1;8;2003;0,6;4;223
18;1;8;2003;0,7;4,4;230
21;1;8;2003;0,6;5,7;210
0;2;8;2003;0,7;5,4;222
3;2;8;2003;0,6;4,9;208
6;2;8;2003;0,8;4,9;210
9;2;8;2003;0,6;4,3;204
12;2;8;2003;0,6;4,5;212
15;2;8;2003;0,6;4,1;217
18;2;8;2003;0,5;5,2;200
21;2;8;2003;0,6;5,1;336
0;3;8;2003;0,7;5;57
3;3;8;2003;0,6;4,8;199
6;3;8;2003;0,5;5,3;211
9;3;8;2003;0,4;5,1;168
12;3;8;2003;0,5;4,6;147
15;3;8;2003;0,6;3,9;150
18;3;8;2003;0,7;4,2;133
21;3;8;2003;0,6;3,8;161
0;4;8;2003;0,5;4,2;185
3;4;8;2003;0,4;3,7;168
6;4;8;2003;0,6;4;147
9;4;8;2003;0,6;3,7;145
12;4;8;2003;0,6;3,9;141
15;4;8;2003;0,5;3,6;148
18;4;8;2003;0,4;3,7;81
21;4;8;2003;0,3;3,6;58
0;5;8;2003;0,2;4,1;19
3;5;8;2003;0,3;3,5;349
6;5;8;2003;0,4;3,5;41
9;5;8;2003;0,5;3,7;22
12;5;8;2003;0,6;3,7;38
15;5;8;2003;0,6;3,8;14
18;5;8;2003;0,8;4,2;167
21;5;8;2003;0,9;4,7;75
0;6;8;2003;0,8;4,5;59
3;6;8;2003;0,9;4,3;138
6;6;8;2003;0,8;4,1;122
9;6;8;2003;0,8;4,1;58
12;6;8;2003;0,6;4,1;335
15;6;8;2003;0,5;4,2;338
18;6;8;2003;0,6;3,5;323
21;6;8;2003;0,6;3,6;323
0;7;8;2003;0,6;3,7;318
3;7;8;2003;0,5;3,8;330
6;7;8;2003;0,5;3,6;319
9;7;8;2003;0,3;3,6;344
12;7;8;2003;0,4;3,4;352
15;7;8;2003;0,3;3,4;343
18;7;8;2003;0,3;3,5;336
21;7;8;2003;0,2;3,5;345
0;8;8;2003;0,2;3,7;348
3;8;8;2003;0,1;4,1;340
6;8;8;2003;0,2;3,6;72
9;8;8;2003;0,3;3,5;146
12;8;8;2003;0,5;3,6;142
15;8;8;2003;0,4;3,6;137
