year,month,day,hour,MN,Hs,T,wind direction
2008,11,1,0,0,1.62,8.47,24.44
2008,11,1,3,0,1.42,8.4,29.05
2008,11,1,6,0,1.23,8.4,29.29
2008,11,1,9,0,1.09,8.26,21.25
2008,11,1,12,0,0.99,8.13,0
2008,11,1,15,0,0.91,7.87,318.37
2008,11,1,18,0,0.84,7.75,307.48
2008,11,1,21,0,0.79,7.69,239.35
2008,11,2,0,0,0.75,7.58,262.69
2008,11,2,3,0,0.84,7.46,278.13
2008,11,2,6,0,1.2,9.01,273.27
2008,11,2,9,0,1.25,8.2,272.05
2008,11,2,12,0,1.18,8.26,235.01
2008,11,2,15,0,1.14,8,231.15
2008,11,2,18,0,1.18,10.99,237.53
2008,11,2,21,0,1.15,10.53,206.1
2008,11,3,0,0,1.14,10,197.78
2008,11,3,3,0,1.2,7.63,205.82
2008,11,3,6,0,1.29,7.75,216.87
2008,11,3,9,0,1.36,7.87,231.45
2008,11,3,12,0,1.21,8.55,203.96
2008,11,3,15,0,1.13,9.01,186.01
2008,11,3,18,0,1.11,8.85,195.52
2008,11,3,21,0,1.13,8.77,233.75
2008,11,4,0,0,1.23,10,0
2008,11,4,3,0,1.38,10.2,43.99
2008,11,4,6,0,1.52,10.2,94.9
2008,11,4,9,0,1.59,10.1,105.46
2008,11,4,12,0,1.58,10,127.41
2008,11,4,15,0,1.58,10,142.7
2008,11,4,18,0,1.59,10,147.99
2008,11,4,21,0,1.63,10,150.83
2008,11,5,0,0,1.65,10.1,157.01
2008,11,5,3,0,1.61,10,138.01
2008,11,5,6,0,1.53,9.62,129.17
2008,11,5,9,0,1.45,9.52,140.39
2008,11,5,12,0,1.38,9.52,131.35
2008,11,5,15,0,1.3,9.43,152.45
2008,11,5,18,0,1.41,9.52,159.78
2008,11,5,21,0,2.12,14.08,169.88
2008,11,6,0,0,2.47,14.29,149.04
2008,11,6,3,0,2.44,13.33,149.04
2008,11,6,6,0,2.27,12.66,154.36
2008,11,6,9,0,2.12,12.35,137.2
2008,11,6,12,0,2.07,12.35,138.63
2008,11,6,15,0,2.02,12.2,143.53
2008,11,6,18,0,1.92,12.05,140.04
2008,11,6,21,0,1.86,11.76,140.48
2008,11,7,0,0,1.74,11.49,155.07
2008,11,7,3,0,1.66,11.24,169.95
2008,11,7,6,0,1.75,11.11,169.92
2008,11,7,9,0,2.21,13.16,247.77
2008,11,7,12,0,2.53,12.2,154.7
2008,11,7,15,0,2.83,12.05,185.81
2008,11,7,18,0,2.82,11.76,180.86
2008,11,7,21,0,2.55,11.24,212.15
2008,11,8,0,0,3.09,10.87,223.58
2008,11,8,3,0,2.7,10.42,196.21
2008,11,8,6,0,2.4,10.42,197.22
2008,11,8,9,0,2.2,10.42,179.25
2008,11,8,12,0,2.03,10.31,171.03
2008,11,8,15,0,1.95,10.2,152.54
2008,11,8,18,0,2.23,10,273.29
2008,11,8,21,0,2.13,10,270.51
2008,11,9,0,0,2.52,7.63,271.35
2008,11,9,3,0,2.52,8.55,242.53
2008,11,9,6,0,2.38,8.93,224.33
2008,11,9,9,0,2.31,9.43,206.34
2008,11,9,12,0,2.79,9.26,232.65
2008,11,9,15,0,2.85,9.35,227.14
2008,11,9,18,0,2.98,10,240.9
2008,11,9,21,0,3.49,13.16,243.81
2008,11,10,0,0,4.25,13.33,238.23
2008,11,10,3,0,5.08,13.7,236.13
2008,11,10,6,0,6.16,13.89,241.57
2008,11,10,9,0,6.82,14.08,240.02
2008,11,10,12,0,6.46,13.89,232.91
2008,11,10,15,0,6.01,13.7,233.01
2008,11,10,18,0,5.22,13.33,251.33
2008,11,10,21,0,5.21,12.66,263.39
2008,11,11,0,0,4.78,12.66,303.01
2008,11,11,3,0,5.15,12.66,320.78
2008,11,11,6,0,5.57,12.05,312.88
2008,11,11,9,0,6.1,11.76,316.16
2008,11,11,12,0,5.21,11.36,314.11
2008,11,11,15,0,4.24,10.75,317.66
2008,11,11,18,0,3.59,10.31,320.67
2008,11,11,21,0,3.09,10.31,323.75
2008,11,12,0,0,2.73,10.31,321.34
2008,11,12,3,0,2.47,10.1,314.46
2008,11,12,6,0,2.23,10,305.34
2008,11,12,9,0,2.06,10.1,283.83
2008,11,12,12,0,1.99,10,264.29
2008,11,12,15,0,2,9.9,249.35
2008,11,12,18,0,1.97,9.62,234.69
2008,11,12,21,0,1.94,9.43,212.91
2008,11,13,0,0,2.04,9.35,213.69
2008,11,13,3,0,2.14,8.26,271.74
2008,11,13,6,0,1.94,8.55,254.51
