year;month;day;hour;MN;Hs;T;wind direction
2016;1;1;0;0;4,1;15;217
2016;1;1;1;0;4,1;15;216
2016;1;1;2;0;4,1;15;210
2016;1;1;3;0;4,0;15;201
2016;1;1;4;0;3,9;15;196
2016;1;1;5;0;3,9;15;186
2016;1;1;6;0;3,8;14;176
2016;1;1;7;0;3,8;14;172
2016;1;1;8;0;3,8;14;162
2016;1;1;9;0;3,8;14;151
2016;1;1;10;0;3,9;16;139
2016;1;1;11;0;4,0;16;135
2016;1;1;12;0;4,1;16;135
2016;1;1;13;0;4,1;16;123
2016;1;1;14;0;4,2;16;119
2016;1;1;15;0;4,2;16;122
2016;1;1;16;0;4,3;16;124
2016;1;1;17;0;4,4;16;124
2016;1;1;18;0;4,4;16;124
2016;1;1;19;0;4,3;15;124
2016;1;1;20;0;4,2;15;126
2016;1;1;21;0;4,1;15;128
2016;1;1;22;0;4,0;15;128
2016;1;1;23;0;3,9;15;128
2016;1;2;0;0;3,8;15;128
2016;1;2;1;0;3,7;15;127
2016;1;2;2;0;3,6;15;125
2016;1;2;3;0;3,6;15;122
2016;1;2;4;0;3,5;15;122
2016;1;2;5;0;3,4;15;120
2016;1;2;6;0;3,3;15;112
2016;1;2;7;0;3,3;15;113
2016;1;2;8;0;3,2;15;118
2016;1;2;9;0;3,2;15;126
2016;1;2;10;0;3,1;14;139
2016;1;2;11;0;3,1;14;154
2016;1;2;12;0;3,1;14;129
2016;1;2;13;0;3,0;14;119
2016;1;2;14;0;3,1;14;146
2016;1;2;15;0;3,1;14;149
2016;1;2;16;0;3,1;14;138
2016;1;2;17;0;3,1;14;126
2016;1;2;18;0;3,2;14;142
2016;1;2;19;0;3,2;14;170
2016;1;2;20;0;3,2;14;187
2016;1;2;21;0;3,2;14;214
2016;1;2;22;0;3,2;14;242
2016;1;2;23;0;3,1;14;227
2016;1;3;0;0;3,1;14;196
2016;1;3;1;0;3,0;14;164
2016;1;3;2;0;3,0;14;157
2016;1;3;3;0;3,0;14;126
2016;1;3;4;0;2,9;14;128
2016;1;3;5;0;2,9;14;135
2016;1;3;6;0;2,9;14;128
2016;1;3;7;0;3,0;14;114
2016;1;3;8;0;3,0;13;111
2016;1;3;9;0;3,0;13;111
2016;1;3;10;0;3,1;13;109
